word,artist,title,url,count
would,kendrick,Diary of a Broke Nigga,https://genius.com/Jay-rock-diary-of-a-broke-nigga-lyrics,382
top,kendrick,A Milli (Freestyle),https://genius.com/Kendrick-lamar-a-milli-freestyle-lyrics,381
can,kendrick,"Sing About Me, I’m Dying of Thirst",,379
know,kendrick,euphoria,,376
show,kendrick,Super Bowl LIX Halftime Show,https://genius.com/Kendrick-lamar-and-nfl-super-bowl-lix-halftime-show-lyrics,374
two,kendrick,Love Game,https://genius.com/Eminem-love-game-lyrics,374
kill,kendrick,Wow Freestyle,https://genius.com/Jay-rock-wow-freestyle-lyrics,372
what,kendrick,euphoria,,371
by,kendrick,Little Johnny,https://genius.com/Kendrick-lamar-little-johnny-lyrics,369
might,kendrick,3 Minutes of Watts,https://genius.com/Kendrick-lamar-3-minutes-of-watts-lyrics,369
around,kendrick,Kendrick Lamar’s Interlude,https://genius.com/Ab-soul-kendrick-lamars-interlude-lyrics,365
could,kendrick,Dumb It Down,https://genius.com/Kendrick-lamar-dumb-it-down-lyrics,365
this,kendrick,"Sing About Me, I’m Dying of Thirst",,362
an,kendrick,Little Johnny,https://genius.com/Kendrick-lamar-little-johnny-lyrics,360
ass,kendrick,Gangsta Party ’08,https://genius.com/Kendrick-lamar-and-jay-rock-gangsta-party-08-lyrics,354
run,kendrick,Pumped Up Kicks (Remix),https://genius.com/Kendrick-lamar-pumped-up-kicks-remix-lyrics,352
ill,kendrick,Vanity Slaves,https://genius.com/Kendrick-lamar-vanity-slaves-lyrics,352
wont,kendrick,Big Guns,https://genius.com/Jay-rock-big-guns-lyrics,351
bad,kendrick,It Ain’t Hard 2 Tell,https://genius.com/Kendrick-lamar-and-jay-rock-it-aint-hard-2-tell-lyrics,344
get,kendrick,Sherane a.k.a Master Splinter’s Daughter,,342
talk,kendrick,Ab-Soul’s Outro,https://genius.com/Kendrick-lamar-ab-souls-outro-lyrics,341
all,kendrick,euphoria,,339
made,kendrick,HERBERT,https://genius.com/Ab-soul-herbert-lyrics,339
live,kendrick,Thuggin’ (Remix),https://genius.com/Glasses-malone-thuggin-remix-lyrics,338
bitches,kendrick,Welcome to C4,https://genius.com/Kendrick-lamar-welcome-to-c4-lyrics,337
call,kendrick,What The Deal,https://genius.com/Kendrick-lamar-what-the-deal-lyrics,337
we,kendrick,"Sing About Me, I’m Dying of Thirst",,335
tryna,kendrick,Really Be (Smokin N Drinkin),https://genius.com/Yg-really-be-smokin-n-drinkin-lyrics,333
die,kendrick,A Milli (Freestyle),https://genius.com/Kendrick-lamar-a-milli-freestyle-lyrics,333
play,kendrick,Welcome to C4,https://genius.com/Kendrick-lamar-welcome-to-c4-lyrics,331
game,kendrick,A Song 4 Buffy (Freestyle),https://genius.com/Kendrick-lamar-a-song-4-buffy-freestyle-lyrics,331
hard,kendrick,Vent / Scary Ass,https://genius.com/Baby-keem-and-kendrick-lamar-vent-scary-ass-lyrics,330
head,kendrick,Hustla’s Story,https://genius.com/Cozz-hustlas-story-lyrics,325
before,kendrick,Sacrilegious,https://genius.com/Schoolboy-q-sacrilegious-lyrics,318
turn,kendrick,The Heart Pt. 3 (Will You Let It Die?),https://genius.com/Kendrick-lamar-the-heart-pt-3-will-you-let-it-die-lyrics,316
just,kendrick,"Sing About Me, I’m Dying of Thirst",,315
yo,kendrick,We Cry Together,https://genius.com/Kendrick-lamar-and-taylour-paige-we-cry-together-lyrics,314
home,kendrick,B-Boyz,https://genius.com/Dj-khaled-b-boyz-lyrics,313
mind,kendrick,We Cry Together,https://genius.com/Kendrick-lamar-and-taylour-paige-we-cry-together-lyrics,312
lets,kendrick,Pocket Off (N95 Demo),https://genius.com/Kendrick-lamar-pocket-off-n95-demo-lyrics,307
girl,kendrick,The Hillbillies,https://genius.com/Baby-keem-and-kendrick-lamar-the-hillbillies-lyrics,301
but,kendrick,euphoria,,300
aint,kendrick,Money Trees,,298
lil,kendrick,I’m Better,https://genius.com/Sampha-im-better-lyrics,294
out,kendrick,Ronald Reagan Era (His Evils),,294
be,kendrick,​euphoria,,290
was,kendrick,euphoria,,289
face,kendrick,It Ain’t Hard 2 Tell,https://genius.com/Kendrick-lamar-and-jay-rock-it-aint-hard-2-tell-lyrics,281
rap,kendrick,Black Hippy,https://genius.com/Jay-rock-black-hippy-lyrics,280
when,kendrick,Sherane a.k.a Master Splinter’s Daughter,,279
watch,kendrick,Kendrick Lamar’s Interlude,https://genius.com/Ab-soul-kendrick-lamars-interlude-lyrics,278
kendrick,kendrick,Funkmaster Flex Freestyle,https://genius.com/Kendrick-lamar-funkmaster-flex-freestyle-lyrics,275
got,kendrick,6:16 in LA,,274
everything,kendrick,Black THougHts,https://genius.com/Schoolboy-q-black-thoughts-lyrics,274
rock,kendrick,Yung Boys World,https://genius.com/Kendrick-lamar-yung-boys-world-lyrics,272
name,kendrick,Misunderstood,https://genius.com/Kendrick-lamar-misunderstood-lyrics,270
compton,kendrick,J. Dilla (Freestyle),https://genius.com/Kendrick-lamar-j-dilla-freestyle-lyrics,269
til,kendrick,They Ready,https://genius.com/Dj-khaled-they-ready-lyrics,268
came,kendrick,Pocket Off (N95 Demo),https://genius.com/Kendrick-lamar-pocket-off-n95-demo-lyrics,267
whats,kendrick,Really Be (Smokin N Drinkin),https://genius.com/Yg-really-be-smokin-n-drinkin-lyrics,264
