word,artist,title,url,count
better,drake,Can’t Hide from Love Freestyle,https://genius.com/Drake-cant-hide-from-love-freestyle-lyrics,227
did,drake,On The Radar Freestyle,https://genius.com/Drake-and-central-cee-on-the-radar-freestyle-lyrics,226
before,drake,THE HEART PART 6,https://genius.com/Drake-the-heart-part-6-lyrics,225
want,drake,Redemption,,225
them,drake,Sacrifices,,225
bitches,drake,Mr. Right Now,https://genius.com/21-savage-and-metro-boomin-mr-right-now-lyrics,223
told,drake,Vital,https://genius.com/Drake-vital-lyrics,222
he,drake,4PM in Calabasas,,221
gettin,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,221
let,drake,9AM in Dallas,,218
okay,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,218
hit,drake,Keep The Faith,https://genius.com/Dvsn-keep-the-faith-lyrics,217
ima,drake,GLORIOUS,https://genius.com/Partynextdoor-and-drake-glorious-lyrics,215
things,drake,Make Me Proud,,215
girls,drake,Trust Issues (Remix),https://genius.com/Justin-bieber-trust-issues-remix-lyrics,215
friends,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,215
more,drake,After Dark,,212
who,drake,No Face,,212
did,drake,305 to My City,,207
good,drake,We Made It Freestyle,,207
stop,drake,Can’t Hide from Love Freestyle,https://genius.com/Drake-cant-hide-from-love-freestyle-lyrics,206
look,drake,7969 Santa,,205
issa,drake,Issa,https://genius.com/21-savage-issa-lyrics,204
am,drake,City Is Mine,https://genius.com/Drake-city-is-mine-lyrics,204
wont,drake,WAIT FOR U,https://genius.com/Future-wait-for-u-lyrics,204
mean,drake,SIRENS,https://genius.com/Travis-scott-sirens-lyrics,203
city,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,203
by,drake,Can’t Hide from Love Freestyle,https://genius.com/Drake-cant-hide-from-love-freestyle-lyrics,203
should,drake,Money,https://genius.com/Drake-money-lyrics,201
money,drake,6 God,,201
talk,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,201
things,drake,GLORIOUS,https://genius.com/Partynextdoor-and-drake-glorious-lyrics,198
lets,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,198
as,drake,After Dark,,197
made,drake,WAIT FOR U,https://genius.com/Future-wait-for-u-lyrics,197
bout,drake,Away From Home,,197
us,drake,Calling For You,,196
em,drake,Pound Cake / Paris Morton Music 2,,196
ive,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,194
really,drake,Peak,,192
again,drake,No Lie,https://genius.com/2-chainz-no-lie-lyrics,191
his,drake,Money,https://genius.com/Drake-money-lyrics,189
would,drake,Middle of the Ocean,,188
were,drake,GLORIOUS,https://genius.com/Partynextdoor-and-drake-glorious-lyrics,187
damn,drake,No Lie,https://genius.com/2-chainz-no-lie-lyrics,186
fuckin,drake,The Last Hope,https://genius.com/Drake-the-last-hope-lyrics,185
