id,label,artist,avg_sentiment_score,anger_score,disgust_score,fear_score,joy_score,neutral_score,sadness_score,surprise_score
drake - Congratulations,Congratulations,drake,0.02873713106060605,0.15380120121478802,0.0724513820270217,0.0726190878318227,0.08501457170473944,0.46347324735005246,0.06392145885690816,0.08871904031415889
drake - Connect,Connect,drake,0.07553061353846154,0.11234695890094508,0.08588710265198289,0.05076665427634273,0.12318972080874326,0.4629014701797412,0.0831099497637926,0.08179814367411797
drake - Controlla,Controlla,drake,0.2676117244444444,0.21254841052734896,0.07364141233524096,0.055501104840668725,0.05870532311890861,0.44025276109783185,0.08602011986520315,0.07333086580518511
drake - Controlla (Leak),Controlla (Leak),drake,0.243234036,0.14296630047901998,0.10519546461873683,0.06618009668236477,0.0797429654790903,0.4182255043648183,0.1172434567008167,0.07044621380628081
drake - Crew Love,Crew Love,drake,0.22648761649122806,0.1012550957844053,0.0742272803041136,0.015473516334232154,0.3156552322274237,0.31081900569169146,0.044882876847527474,0.1376869803245522
drake - Crew Love (Demo),Crew Love (Demo),drake,0.26779733363636365,0.10736315772784023,0.10222713468300006,0.014395176731473298,0.31095793282359163,0.32822133339941495,0.0593875785781578,0.07744768198833542
drake - Currents,Currents,drake,0.17187676250000003,0.04743636397567263,0.0360963296940705,0.10081713318747154,0.007328744463544896,0.4945155529227729,0.21648079137473053,0.09732505902259918
drake - D4L,D4L,drake,-0.13746165866666665,0.11890865960934506,0.14929186439258044,0.029693184564045273,0.04163565761021644,0.4761176791973412,0.05681887974496927,0.12753407089039678
drake - DIE TRYING,DIE TRYING,drake,-0.2517347101960784,0.11809228765938024,0.0798377270591171,0.04343341452334365,0.10263874598632691,0.35388642668212744,0.23202532790966474,0.07008607467572547
drake - DOG HOUSE,DOG HOUSE,drake,-0.07489578166666666,0.20979935396462676,0.15121806499168824,0.040159858797711306,0.1570406632510841,0.26270929059117204,0.07563548012533117,0.10343727570337549
drake - DRUNK OFF U,DRUNK OFF U,drake,-0.14376336083333333,0.18674454735592005,0.1690909723518416,0.0817800890305079,0.04197657443194956,0.41594931889946263,0.05789442288223649,0.04656407200576111
drake - Daylight,Daylight,drake,-0.3884319711111111,0.2704850387397325,0.11942169004598527,0.057056979954924994,0.07380286480636436,0.3093806103570386,0.06328718470306029,0.10656563602646602
drake - Days in the East,Days in the East,drake,-0.13598646911392406,0.12957572649067994,0.09239650801519705,0.09334152631455721,0.04513345881294502,0.49509135421506967,0.06314633530859325,0.08131509799734225
drake - Days in the West,Days in the West,drake,-0.18275816055555558,0.11220584676980418,0.09673595249100962,0.03527433477736644,0.07313433357975786,0.3530085911301689,0.19143516369405442,0.1382057787246864
